store_item_name;client_id;Date;dollar_spent
pack_b;p638bp11e7p;2015-11-18;1.2
pack_a;p99zbp4a92p;2015-12-10;0.99
bundle_9;pz00cp4163p;2015-11-31;18.5
pack_a;p248dp4b3cp;2015-11-29;0.99
pack_a;pcz14p11e6p;2015-12-08;0.99
pack_a;p3763p11e7p;2015-12-08;0.99
pack_a;p9ac2p11e7p;2015-11-15;0.99
pack_a;p0634p4cedp;2015-11-13;0.99
pack_a;p61cap4999p;2015-11-28;0.99
bundle_9;p2b6fp4889p;2015-11-30;18.5
bundle_10;p8az0p11e7p;2015-11-12;18.5
pack_e;pbe00p11e6p;2015-11-18;5
pack_a;pz861p4aacp;2015-12-10;0.99
pack_c;p8ze6p4f6bp;2015-11-22;1.99
pack_c;p03b9p48f3p;2015-11-24;1.99
pack_d;p9066p46f1p;2015-12-09;2.5
pack_b;p738ep4ec3p;2015-12-08;1.2
pack_c;p24acp4a4bp;2015-11-21;1.99
pack_d;p1b67p403ap;2015-11-29;2.5
pack_a;pc83ap47z7p;2015-12-09;0.99
pack_c;pcb60p11e6p;2015-12-09;1.99
pack_a;p6fdap440zp;2015-12-01;0.99
pack_c;pc4z9p11e6p;2015-11-14;1.99
pack_b;p4cd8p4a6fp;2015-11-14;1.2
pack_b;pdzf0p4610p;2015-11-29;1.2
pack_a;pb0z7p421bp;2015-11-19;0.99
pack_a;pb323p41aap;2015-11-13;0.99
bundle_3;pca03p4118p;2015-11-28;21.99
pack_a;pz906p11e7p;2015-11-14;0.99
pack_c;p9ad9p11e7p;2015-12-12;1.99
pack_b;p1689p11e7p;2015-11-15;1.2
pack_b;p9b33p4eacp;2015-11-18;1.2
bundle_2;pz33dp11e7p;2015-11-22;1.5
pack_d;pbecap11e6p;2015-11-23;2.5
pack_c;pdcf0p4fz3p;2015-12-05;1.99
pack_e;p1927p4d8dp;2015-11-21;5
pack_a;p1294p4d2cp;2015-12-01;0.99
bundle_3;pzzf2p11e7p;2015-11-19;21.99
pack_a;p86dzp11e7p;2015-12-01;0.99
pack_a;p7b9dp40dep;2015-12-06;0.99
bundle_9;pbee0p40adp;2015-11-25;18.5
pack_c;p4609p11e7p;2015-12-02;1.99
pack_a;pd46fp48fcp;2015-12-07;0.99
pack_b;p9c9dp11e7p;2015-11-15;1.2
pack_d;p826bp49fap;2015-11-29;2.5
pack_c;pz806p11e7p;2015-11-14;1.99
pack_a;p00f0p46e4p;2015-11-28;0.99
pack_a;p3bf2p47z0p;2015-12-02;0.99
pack_a;p31d7p4bz7p;2015-12-07;0.99
pack_e;pbez0p11e6p;2015-11-23;5
pack_a;pc02zp11e6p;2015-12-05;0.99
pack_a;p8efbp11e7p;2015-11-29;0.99
bundle_9;p60ezp11e7p;2015-11-12;18.5
pack_c;pbb2zp47b2p;2015-12-01;1.99
pack_c;p9a6ep11e7p;2015-11-25;1.99
pack_c;pfebzp11e6p;2015-11-29;1.99
pack_a;p334ap4d9cp;2015-12-02;0.99
pack_b;p8b13p4704p;2015-11-27;1.2
pack_d;pzcc0p11e7p;2015-12-06;2.5
pack_b;p98b2p46z8p;2015-12-12;1.2
pack_a;p9873p11e7p;2015-11-25;0.99
pack_b;pfz20p11e6p;2015-11-12;1.2
pack_a;pze78p11e7p;2015-12-06;0.99
pack_a;pz4a1p4dcbp;2015-11-14;0.99
pack_c;pba7ep410cp;2015-12-01;1.99
bundle_10;pd2ezp11e6p;2015-11-23;18.5
pack_a;pzd3ep4a9ap;2015-11-31;0.99
bundle_8;pzz7zp11e7p;2015-12-01;18.5
pack_c;p3869p4ddfp;2015-12-08;1.99
bundle_9;p94c0p11e7p;2015-12-05;18.5
pack_b;pb322p497ap;2015-11-30;1.2
pack_b;p8c4fp4zfcp;2015-12-01;1.2
pack_a;p0z84p44d7p;2015-11-14;0.99
pack_c;pc332p41b4p;2015-11-23;1.99
bundle_8;p9118p11e7p;2015-11-21;18.5
pack_a;pb0z7p421bp;2015-12-09;0.99
pack_a;p34f0p4e4ap;2015-11-31;0.99
pack_b;p1499p479dp;2015-12-03;1.2
pack_d;pb287p4fb3p;2015-11-22;2.5
bundle_3;pc42ap11e6p;2015-11-21;21.99
pack_b;pbe86p11e6p;2015-11-17;1.2
pack_c;pzz96p4c8ap;2015-11-31;1.99
pack_b;pdccdp44bdp;2015-12-01;1.2
pack_c;pbz7ep460ap;2015-11-23;1.99
pack_e;pa04bp46b3p;2015-11-24;5
pack_d;p1137p46e6p;2015-11-14;2.5
pack_a;p98d9p42azp;2015-11-13;0.99
pack_c;pbe8dp11e6p;2015-12-03;1.99
pack_a;pfdbbp40a7p;2015-12-11;0.99
pack_a;p6e6zp4d91p;2015-11-15;0.99
pack_a;p6fdap440zp;2015-12-03;0.99
pack_b;pza8bp4c8cp;2015-11-27;1.2
pack_b;pc4z7p4399p;2015-12-09;1.2
pack_e;p264ep4c76p;2015-12-03;5
bundle_2;p9cabp48d9p;2015-12-07;1.5
pack_a;pd10cp4a34p;2015-12-06;0.99
pack_b;p4f1zp49bdp;2015-11-24;1.2
pack_c;p9836p4bz7p;2015-11-20;1.99
pack_a;p9f32p11e7p;2015-11-25;0.99
pack_a;p9bb8p11e7p;2015-11-30;0.99
pack_c;pcc17p11e6p;2015-11-20;1.99
bundle_2;p7d48p4198p;2015-11-17;1.5
pack_a;pzaa8p11e7p;2015-11-29;0.99
pack_c;p21c4p11e7p;2015-11-19;1.99
bundle_1;p826bp49fap;2015-11-24;15.99
pack_a;p6433p4fzcp;2015-11-27;0.99
pack_c;p7bd9p11e7p;2015-12-04;1.99
pack_a;p821bp43fbp;2015-11-21;0.99
pack_c;p8d6ep11e7p;2015-11-15;1.99
pack_e;pbd9ap11e6p;2015-11-25;5
pack_a;p883zp11e7p;2015-12-11;0.99
pack_c;pc3z7p11e6p;2015-12-12;1.99
bundle_8;p268fp4813p;2015-12-10;18.5
pack_a;p8zc0p11e7p;2015-12-05;0.99
pack_e;p8zfep11e7p;2015-12-10;5
pack_c;p9a7fp11e7p;2015-11-26;1.99
pack_b;pez7bp412ap;2015-11-12;1.2
pack_a;pb16cp4a6cp;2015-11-31;0.99
bundle_10;p338ap4982p;2015-12-08;18.5
pack_e;pfdf7p4718p;2015-12-06;5
pack_a;pda48p460zp;2015-11-19;0.99
pack_b;pzf89p4928p;2015-12-11;1.2
bundle_8;p86dzp4z3cp;2015-11-20;18.5
bundle_3;p247ep11e7p;2015-11-16;21.99
pack_b;pc14ap11e6p;2015-12-11;1.2
pack_e;pbe10p11e6p;2015-11-24;5
pack_d;p98f8p11e7p;2015-11-12;2.5
bundle_10;pa8c4p11e7p;2015-12-08;18.5
bundle_1;pc720p4afdp;2015-12-11;15.99
pack_c;p39z9p11e7p;2015-12-07;1.99
pack_a;p8e47p491cp;2015-11-17;0.99
pack_a;pfebzp11e6p;2015-11-20;0.99
pack_c;pe23ap4z6zp;2015-11-22;1.99
pack_a;pbd9ap11e6p;2015-11-26;0.99
pack_e;pd47zp4adzp;2015-12-09;5
pack_a;pc3z7p11e6p;2015-11-30;0.99
bundle_3;p9bd1p11e7p;2015-11-29;21.99
pack_c;pb4b6p48bep;2015-11-17;1.99
bundle_8;p8c44p4c47p;2015-11-18;18.5
bundle_3;pz02dp42bep;2015-11-19;21.99
pack_c;pcz3ep11e6p;2015-12-09;1.99
bundle_3;p4c71p424bp;2015-11-27;21.99
bundle_2;p38bzp4a80p;2015-11-28;1.5
pack_c;pcd72p11e6p;2015-11-12;1.99
pack_a;p6z03p4f02p;2015-11-19;0.99
pack_e;pc8f2p11e6p;2015-12-03;5
pack_a;p7e7ep11e7p;2015-11-29;0.99
bundle_9;pc3z7p11e6p;2015-11-31;18.5
pack_c;pbfc1p11e6p;2015-12-05;1.99
pack_c;p814bp4e6zp;2015-12-11;1.99
pack_b;p7z81p4af8p;2015-11-27;1.2
pack_a;p68z1p440dp;2015-11-28;0.99
pack_e;pb471p4884p;2015-11-31;5
pack_e;pz842p11e7p;2015-12-07;5
pack_a;p9d39p11e7p;2015-12-10;0.99
pack_b;pbfa9p11e6p;2015-12-04;1.2
pack_a;p3b8dp4d96p;2015-11-24;0.99
pack_e;pz7zap11e7p;2015-11-30;5
bundle_2;p00f4p11e7p;2015-12-02;1.5
pack_e;p386cp11e7p;2015-11-15;5
bundle_10;pc1z4p11e6p;2015-11-20;18.5
bundle_9;p0zc9p4098p;2015-11-29;18.5
pack_a;pb676p4768p;2015-11-27;0.99
pack_b;pbea0p11e6p;2015-11-27;1.2
bundle_8;pze7ep11e7p;2015-11-25;18.5
pack_a;pef2bp494ap;2015-12-03;0.99
pack_a;p869ep4601p;2015-12-08;0.99
pack_c;p0a8cp466ep;2015-12-05;1.99
pack_a;p0e7zp4eefp;2015-11-29;0.99
bundle_3;pcz44p11e6p;2015-11-26;21.99
bundle_3;pz4fap11e7p;2015-11-15;21.99
pack_b;p6z03p4f02p;2015-11-25;1.2
pack_e;pd142p4b2zp;2015-12-07;5
pack_d;pcb66p11e6p;2015-12-12;2.5
bundle_9;p78azp4eecp;2015-11-28;18.5
pack_e;p6433p4fzcp;2015-11-14;5
bundle_10;pf21ep4b97p;2015-11-16;18.5
pack_a;p9ad9p11e7p;2015-12-07;0.99
pack_a;pdcf0p4fz3p;2015-11-26;0.99
pack_a;pd9aap4426p;2015-11-21;0.99
pack_a;pc441p11e6p;2015-12-04;0.99
pack_d;pe243p11e6p;2015-11-27;2.5
pack_a;p6342p11e7p;2015-12-04;0.99
pack_b;p3920p11e7p;2015-11-20;1.2
pack_c;p7dcfp44z3p;2015-11-20;1.99
bundle_8;pcb03p11e6p;2015-11-15;18.5
pack_a;p981dp11e7p;2015-12-06;0.99
pack_c;pd84cp497dp;2015-12-11;1.99
bundle_3;p491ep11e7p;2015-11-18;21.99
pack_e;pcz07p424zp;2015-12-03;5
pack_a;p1267p466ep;2015-11-19;0.99
bundle_2;p3e61p46f7p;2015-11-26;1.5
pack_a;p8az7p11e7p;2015-11-20;0.99
pack_a;p3b7zp44e1p;2015-11-28;0.99
pack_e;pzbdfp11e7p;2015-11-28;5
pack_e;pz819p11e7p;2015-11-14;5
pack_a;pbdbdp11e6p;2015-12-06;0.99
pack_a;pzac7p11e7p;2015-11-15;0.99
pack_b;pz64zp11e7p;2015-11-30;1.2
pack_a;paa42p4d7bp;2015-12-04;0.99
pack_a;pa03cp4z93p;2015-11-19;0.99
pack_e;pc9a4p4ffap;2015-12-06;5
bundle_10;pbe2bp11e6p;2015-11-16;18.5
pack_c;p9663p4aa6p;2015-12-01;1.99
pack_a;p826bp49fap;2015-12-05;0.99
pack_d;p826ep49z0p;2015-11-15;2.5
pack_e;pd6c6p4df6p;2015-12-01;5
pack_e;p49d3p4031p;2015-11-30;5
bundle_9;p629dp42f0p;2015-12-01;18.5
pack_a;pd84cp497dp;2015-11-22;0.99
bundle_9;p9c92p11e7p;2015-12-03;18.5
pack_a;p6342p11e7p;2015-12-05;0.99
pack_b;p1130p4ed1p;2015-12-09;1.2
pack_c;p7ad1p44a0p;2015-11-17;1.99
pack_a;pf6e4p4b70p;2015-12-07;0.99
pack_a;pz760p11e7p;2015-12-03;0.99
bundle_9;pe700p448ap;2015-12-04;18.5
bundle_8;p6c1cp11e7p;2015-11-19;18.5
pack_e;p8224p402fp;2015-11-23;5
pack_d;pbea9p11e6p;2015-11-28;2.5
pack_b;p02f9p44f1p;2015-12-06;1.2
pack_a;p2b6fp4889p;2015-11-22;0.99
pack_e;pd84cp497dp;2015-12-04;5
pack_a;p8b13p4704p;2015-11-14;0.99
bundle_2;p8b8dp11e7p;2015-11-23;1.5
pack_c;peea1p4zfbp;2015-12-05;1.99
pack_a;p308dp40a0p;2015-11-28;0.99
pack_b;pz48zp4db0p;2015-12-02;1.2
pack_e;p1f88p4f9dp;2015-11-30;5
pack_a;paz09p11e7p;2015-11-14;0.99
pack_e;pbe26p11e6p;2015-11-21;5
bundle_10;pc332p41b4p;2015-11-25;18.5
pack_e;pe243p11e6p;2015-12-05;5
bundle_9;p6360p11e7p;2015-11-21;18.5
pack_a;pf19fp4bf2p;2015-11-18;0.99
pack_a;p962ap4z43p;2015-12-08;0.99
bundle_9;p8443p4zzfp;2015-11-31;18.5
pack_c;p78e8p11e7p;2015-12-08;1.99
pack_e;paz09p11e7p;2015-12-07;5
pack_c;p60d8p492zp;2015-11-23;1.99
pack_a;p71ebp11e7p;2015-11-26;0.99
bundle_9;pb322p497ap;2015-11-15;18.5
pack_a;p9a4ep11e7p;2015-11-28;0.99
pack_a;p6902p4fbep;2015-11-17;0.99
pack_c;pc43dp47e2p;2015-11-22;1.99
pack_c;p7a73p4022p;2015-12-06;1.99
pack_e;p4zbdp4c7bp;2015-11-18;5
pack_a;pe6d8p11e6p;2015-11-14;0.99
pack_b;p6z03p4f02p;2015-11-23;1.2
bundle_10;pf24bp42d6p;2015-11-25;18.5
pack_a;p12f7p4fcdp;2015-11-13;0.99
pack_c;p6effp11e7p;2015-11-12;1.99
pack_c;p9ab1p11e7p;2015-11-31;1.99
pack_a;p867ap4d66p;2015-11-29;0.99
pack_c;pc130p411ep;2015-11-23;1.99
pack_c;pc83zp41cbp;2015-11-17;1.99
pack_a;p848ap41d8p;2015-11-25;0.99
pack_c;pbfa9p11e6p;2015-11-26;1.99
bundle_2;p3b8dp4d96p;2015-12-03;1.5
pack_b;pf486p47bcp;2015-11-25;1.2
bundle_2;pbe2ep11e6p;2015-11-15;1.5
pack_e;pa7aap43eap;2015-12-03;5
pack_c;pbf7dp11e6p;2015-11-18;1.99
pack_c;p6a18p4684p;2015-11-30;1.99
pack_c;p3728p11e7p;2015-12-02;1.99
pack_b;p8103p11e7p;2015-11-19;1.2
pack_a;peffep4914p;2015-11-27;0.99
pack_a;pb40ap4906p;2015-11-18;0.99
pack_e;p7439p42dzp;2015-11-28;5
pack_a;p44z0p11e7p;2015-12-09;0.99
pack_a;pe6d8p11e6p;2015-12-10;0.99
pack_a;pf876p4076p;2015-11-19;0.99
pack_e;p3bc1p4cfzp;2015-12-09;5
pack_a;pdcd2p11e6p;2015-12-01;0.99
bundle_10;pf6e4p4b70p;2015-11-29;18.5
pack_e;p68bdp11e7p;2015-11-14;5
pack_c;p839zp11e7p;2015-12-12;1.99
bundle_1;pazf3p11e7p;2015-11-31;15.99
pack_a;pc720p4afdp;2015-11-29;0.99
pack_c;pz634p11e7p;2015-11-18;1.99
bundle_3;pbea0p11e6p;2015-12-09;21.99
bundle_10;pcbbep4zd2p;2015-11-14;18.5
pack_e;p60z0p4f80p;2015-11-14;5
pack_b;p7a73p4022p;2015-11-17;1.2
pack_b;pa31fp412ap;2015-12-09;1.2
pack_a;pcf20p11e6p;2015-12-06;0.99
pack_e;peffep4914p;2015-11-30;5
pack_c;p6204p11e7p;2015-12-07;1.99
pack_d;p719zp4700p;2015-11-13;2.5
pack_a;p9066p46f1p;2015-11-19;0.99
bundle_9;p6416p4339p;2015-11-21;18.5
pack_b;pb829p4ca0p;2015-11-12;1.2
bundle_8;pc97bp11e6p;2015-11-18;18.5
pack_c;p9984p11e7p;2015-11-26;1.99
pack_e;pcfz8p4zafp;2015-11-17;5
bundle_8;p90z0p11e7p;2015-12-09;18.5
pack_a;p8718p4493p;2015-12-10;0.99
bundle_9;p161fp11e7p;2015-11-24;18.5
bundle_1;pzdc1p11e7p;2015-11-29;15.99
pack_b;pb9dcp40c1p;2015-11-13;1.2
pack_a;pa169p40d8p;2015-11-27;0.99
pack_b;pc8a3p4d4zp;2015-11-26;1.2
pack_a;pc37ap11e6p;2015-11-15;0.99
pack_e;p1d77p11e7p;2015-11-18;5
bundle_8;p4z48p11e7p;2015-11-24;18.5
pack_c;p9d43p4642p;2015-11-13;1.99
pack_a;pd328p11e6p;2015-11-14;0.99
pack_d;p248dp4b3cp;2015-11-30;2.5
pack_e;p04a6p11e7p;2015-12-01;5
bundle_1;pz6z0p11e7p;2015-11-28;15.99
bundle_1;pz8dzp11e7p;2015-12-06;15.99
pack_c;p960ap4ze8p;2015-11-13;1.99
bundle_2;pcf68p4324p;2015-11-20;1.5
bundle_3;pz33dp11e7p;2015-11-28;21.99
pack_c;pbe2ep11e6p;2015-11-25;1.99
pack_e;p0cc1p11e7p;2015-11-24;5
pack_a;p6a3ep11e7p;2015-11-17;0.99
pack_b;p4dcap4f4dp;2015-11-29;1.2
pack_a;pc497p11e6p;2015-11-31;0.99
pack_b;p9abcp11e7p;2015-11-30;1.2
pack_d;p8c76p11e7p;2015-11-13;2.5
bundle_8;p3f92p401bp;2015-11-12;18.5
pack_a;p76dzp11e7p;2015-12-06;0.99
pack_c;pzf16p4f2ep;2015-12-01;1.99
pack_b;pf811p427bp;2015-11-27;1.2
pack_b;p9a4ep11e7p;2015-12-07;1.2
pack_a;p1ec9p47b4p;2015-11-16;0.99
pack_c;pbdf7p11e6p;2015-11-14;1.99
pack_e;p9az1p11e7p;2015-11-14;5
pack_a;pda48p460zp;2015-12-04;0.99
pack_b;pc3f8p11e6p;2015-12-11;1.2
pack_c;pb6e3p4277p;2015-12-12;1.99
pack_e;p3z8fp40a8p;2015-12-10;5
pack_a;pz49zp4398p;2015-11-21;0.99
pack_e;pe227p11e6p;2015-12-10;5
pack_c;pzabcp464bp;2015-12-04;1.99
pack_c;pcf68p4324p;2015-11-23;1.99
pack_a;pfaz4p40e4p;2015-11-12;0.99
pack_b;p86bzp11e7p;2015-11-31;1.2
pack_c;pf499p472fp;2015-12-08;1.99
pack_c;p99cdp11e7p;2015-12-07;1.99
pack_d;pe02dp4900p;2015-11-14;2.5
pack_a;pdez4p4107p;2015-12-05;0.99
bundle_1;pa6e6p11e7p;2015-12-10;15.99
pack_a;pfb0bp4229p;2015-11-16;0.99
pack_c;pad21p4df9p;2015-11-22;1.99
bundle_8;p9a14p4z92p;2015-12-12;18.5
pack_e;p992bp4c43p;2015-12-05;5
bundle_3;p9a36p11e7p;2015-11-22;21.99
pack_c;pbz7ep460ap;2015-12-07;1.99
pack_a;pc2e0p11e6p;2015-12-09;0.99
bundle_9;pcbd6p4222p;2015-11-25;18.5
pack_c;p9bb0p11e7p;2015-12-01;1.99
pack_c;pb076p40c7p;2015-11-30;1.99
pack_e;pcaadp11e6p;2015-11-17;5
pack_a;p6c4bp4a1dp;2015-12-03;0.99
pack_a;p9a6ep11e7p;2015-11-13;0.99
pack_a;pz7zap11e7p;2015-11-30;0.99
pack_c;p8b8dp11e7p;2015-11-15;1.99
pack_b;pz634p11e7p;2015-12-12;1.2
bundle_10;pd680p11e6p;2015-11-16;18.5
bundle_8;pc099p11e6p;2015-11-12;18.5
pack_e;p9a7ep11e7p;2015-12-11;5
pack_a;pd892p4c41p;2015-12-03;0.99
pack_c;p3749p11e7p;2015-12-08;1.99
pack_a;p71a7p48f4p;2015-11-31;0.99
bundle_9;p8a88p4701p;2015-12-03;18.5
pack_e;pd119p48bzp;2015-12-06;5
pack_a;p9adbp11e7p;2015-12-03;0.99
pack_b;p7ac4p43z7p;2015-11-15;1.2
pack_b;pca92p11e6p;2015-11-20;1.2
pack_b;p0299p4e22p;2015-11-23;1.2
pack_a;p992bp4c43p;2015-11-23;0.99
pack_a;p8zc0p11e7p;2015-11-16;0.99
bundle_3;pbfc1p11e6p;2015-11-26;21.99
pack_c;pb662p4cc4p;2015-11-24;1.99
bundle_8;p7120p11e7p;2015-12-10;18.5
pack_a;pz9ccp11e7p;2015-11-27;0.99
bundle_1;pza3dp41a6p;2015-11-24;15.99
bundle_3;p1c92p4f00p;2015-12-01;21.99
pack_c;pf9cfp46d8p;2015-11-14;1.99
pack_e;p1ec9p47b4p;2015-11-28;5
pack_c;p9a83p11e7p;2015-11-29;1.99
pack_c;p02f9p44f1p;2015-11-20;1.99
bundle_8;pcae3p11e6p;2015-11-29;18.5
pack_e;p04afp424ap;2015-11-16;5
pack_d;p6ec4p4z6ap;2015-11-25;2.5
pack_a;pd040p11e6p;2015-11-23;0.99
pack_a;pd4eep11e6p;2015-12-10;0.99
bundle_10;p61fzp11e7p;2015-11-22;18.5
pack_a;p02afp483cp;2015-11-30;0.99
pack_c;p7e7ep11e7p;2015-11-16;1.99
bundle_9;pa4dcp11e7p;2015-11-16;18.5
pack_a;p6187p11e7p;2015-11-31;0.99
pack_a;p7872p11e7p;2015-12-12;0.99
bundle_9;p8az7p11e7p;2015-11-12;18.5
pack_b;pzebfp11e7p;2015-11-31;1.2
pack_e;pzac7p11e7p;2015-12-02;5
pack_c;p62bzp44d1p;2015-11-17;1.99
pack_a;p8zc0p11e7p;2015-12-12;0.99
pack_c;p738fp11e7p;2015-12-10;1.99
bundle_3;pc4z7p4399p;2015-12-11;21.99
pack_e;pb7d4p44c1p;2015-12-06;5
bundle_1;p1eb8p4dbap;2015-11-31;15.99
pack_e;pz2f6p422cp;2015-12-09;5
pack_a;p1bbap11e7p;2015-11-26;0.99
pack_a;pz7z4p11e7p;2015-12-12;0.99
pack_d;p7a73p4022p;2015-11-26;2.5
pack_e;p0299p4e22p;2015-11-20;5
pack_c;p96b6p11e7p;2015-11-29;1.99
bundle_1;pbfffp4a82p;2015-12-03;15.99
pack_b;p60ezp11e7p;2015-11-23;1.2
pack_a;p06e9p11e7p;2015-11-28;0.99
bundle_9;p7b43p4b3fp;2015-12-08;18.5
pack_c;p97e7p11e7p;2015-11-12;1.99
bundle_3;pc9a4p4ffap;2015-11-13;21.99
pack_a;p9ad9p11e7p;2015-12-10;0.99
bundle_8;p39fcp40d9p;2015-12-11;18.5
pack_b;p8131p4b88p;2015-11-23;1.2
pack_c;pa404p11e7p;2015-12-09;1.99
pack_c;p0240p4aa4p;2015-11-26;1.99
bundle_10;p9b46p4fcdp;2015-12-01;18.5
bundle_10;p4zb3p4f14p;2015-11-18;18.5
bundle_1;pc4cap46zep;2015-12-07;15.99
pack_c;pze2cp4c08p;2015-11-14;1.99
pack_a;pzbdfp11e7p;2015-12-10;0.99
pack_a;p0416p47z6p;2015-11-21;0.99
pack_c;p6ebzp11e7p;2015-12-03;1.99
pack_b;p9b37p11e7p;2015-12-03;1.2
bundle_8;p9d83p4ebap;2015-11-20;18.5
pack_a;p8920p11e7p;2015-12-01;0.99
pack_c;p9836p4bz7p;2015-11-31;1.99
pack_a;p880cp11e7p;2015-12-07;0.99
bundle_8;p28zap11e7p;2015-11-19;18.5
pack_c;p26e8p11e7p;2015-11-29;1.99
pack_d;p268fp4813p;2015-12-12;2.5
pack_d;p98ccp11e7p;2015-12-02;2.5
pack_a;pbf47p11e6p;2015-11-19;0.99
bundle_2;pz7d6p11e7p;2015-11-25;1.5
pack_b;pd86dp473ep;2015-12-11;1.2
pack_c;p6fbbp476zp;2015-11-19;1.99
pack_c;pcae3p11e6p;2015-12-03;1.99
pack_a;pb362p463bp;2015-12-11;0.99
pack_a;pd892p4c41p;2015-11-19;0.99
pack_c;pbedbp11e6p;2015-11-18;1.99
pack_b;p1e01p11e7p;2015-11-25;1.2
pack_a;p9a6ep11e7p;2015-11-29;0.99
bundle_2;p7d2bp40c1p;2015-12-03;1.5
pack_a;pd10cp4a34p;2015-12-12;0.99
bundle_2;p0f0ap4801p;2015-11-16;1.5
pack_a;pf811p427bp;2015-11-21;0.99
pack_c;p26b6p11e7p;2015-11-17;1.99
pack_e;pe06zp424dp;2015-12-12;5
pack_a;p004dp4a20p;2015-12-07;0.99
pack_c;p8ed3p4ff2p;2015-11-13;1.99
pack_a;p8261p461bp;2015-11-12;0.99
pack_a;pz1eap11e7p;2015-12-03;0.99
bundle_2;p7847p4z11p;2015-11-25;1.5
pack_e;p73c4p44c4p;2015-12-11;5
pack_b;p8718p4493p;2015-11-28;1.2
pack_c;pz7z4p11e7p;2015-12-06;1.99
pack_b;p604fp11e7p;2015-11-13;1.2
pack_c;pcabdp11e6p;2015-11-27;1.99
pack_e;p7ef0p11e7p;2015-11-25;5
bundle_9;pfd2ep11e6p;2015-12-03;18.5
pack_a;pz74fp42e9p;2015-12-04;0.99
pack_e;pz2z1p11e7p;2015-12-11;5
pack_a;p83b8p4989p;2015-11-13;0.99
pack_a;p3749p11e7p;2015-11-27;0.99
pack_e;p86zep44cep;2015-12-03;5
bundle_9;p00f4p11e7p;2015-11-24;18.5
pack_a;p1137p46e6p;2015-12-10;0.99
pack_a;p99zdp11e7p;2015-12-05;0.99
pack_a;p803cp4717p;2015-12-07;0.99
pack_b;p4zb3p4f14p;2015-11-18;1.2
pack_a;p61zfp11e7p;2015-12-02;0.99
bundle_8;pbddap11e6p;2015-11-12;18.5
pack_a;pdzf0p4610p;2015-12-06;0.99
